AHRI #,CONDENSER,COIL,FURNACE,EER2,SEER2,HSPF2,FINANCE,25C
215233553.0,RA14AY42AJ1NALHP,RCFY4821STANMC,R951V1005A21M4SCAP,11.7,14.3,,Yes - Furn w/Econet,No
215233408.0,RA14AY42AJ1NALHP,RCFY4824STANMC,R951V1155A24M4SCAP,12.0,15.2,,Yes - Furn w/Econet,No
217106276.0,RA14AY48AJ1NALHP,RCFY4821STANMC,R951V0855A21M4SCAP,11.2,13.8,,Yes - Furn w/Econet,No
215240298.0,RA14AY48AJ1NALHP,RCFY4824STANMC,R951V1155A24M4SCAP,11.2,13.8,,Yes - Furn w/Econet,No
215232840.0,RA14AY60AJ1NALHP,RCFY6024STANMC,R951V1005A21M4SCAP,11.2,13.8,,Yes - Furn w/Econet,No
215232891.0,RA14AY60AJ1NALHP,RCFY6024STANMC,R951V1155A24M4SCAP,11.2,13.8,,Yes - Furn w/Econet,No
,,,,,,,,
215260513.0,RA15AY18AJ1NALHP,RCFY2417STANMC,R951V0403A17M4SCAP,13.0,15.2,,Yes,No
215260576.0,RA15AY18AJ1NALHP,RCFY2417STANMC,R951V0603A17M4SCAP,13.0,15.2,,Yes,No
215260571.0,RA15AY18AJ1NALHP,RCFY2417STANMC,R951V0703A17M4SCAP,13.0,15.2,,Yes,No
216555231.0,RA15AY24AJ1NALHP,RCFY2417STANMC,R951V0403A17M4SCAP,13.0,15.2,,Yes,No
216555237.0,RA15AY24AJ1NALHP,RCFY2417STANMC,R951V0603A17M4SCAP,13.0,15.2,,Yes,No
216555246.0,RA15AY24AJ1NALHP,RCFY2417STANMC,R951V0703A17M4SCAP,13.0,15.2,,Yes,No
215265655.0,RA15AY30AJ1NALHP,RCFY3617STANMC,R951V0603A17M4SCAP,11.7,14.3,,Yes,No
215266245.0,RA15AY30AJ1NALHP,RCFY3617STANMC,R951V0703A17M4SCAP,11.7,14.3,,Yes,No
215265618.0,RA15AY30AJ1NALHP,RCFY3621STANMC,R951V0855A21M4SCAP,13.0,15.2,,Yes,No
215265932.0,RA15AY30AJ1NALHP,RCFY3621STANMC,R951V1005A21M4SCAP,13.0,15.2,,Yes,No
216547953.0,RA15AY36AJ1NALHP,RCFY3617STANMC,R951V0403A17M4SCAP,11.7,14.3,,Yes,No
216547951.0,RA15AY36AJ1NALHP,RCFY3617STANMC,R951V0603A17M4SCAP,11.7,14.3,,Yes,No
216556795.0,RA15AY36AJ1NALHP,RCFY3617STANMC,R951V0703A17M4SCAP,13.0,15.2,,Yes,No
216556785.0,RA15AY36AJ1NALHP,RCFY3621STANMC,R951V0855A21M4SCAP,13.0,15.2,,Yes,No
216556778.0,RA15AY36AJ1NALHP,RCFY3621STANMC,R951V1005A21M4SCAP,13.0,15.2,,Yes,No
216548274.0,RA15AY42AJ1NALHP,RCFY4821STANMC,R951V0705A21M4SCAP,11.7,14.3,,Yes,No
216548270.0,RA15AY42AJ1NALHP,RCFY4821STANMC,R951V0855A21M4SCAP,11.7,14.3,,Yes,No
217106248.0,RA15AY48AJ1NALHP,RCFY4821STANMC,R951V0855A21M4SCAP,11.2,13.8,,Yes,No
216710089.0,RA15AY48AJ1NALHP,RCFY4824STANMC,R951V1155A24M4SCAP,11.2,13.8,,Yes,No
